,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,screen_name,source,urls,user,user_mentions
0,Thu Nov 14 15:39:25 +0000 2019,80812,Where’s the Fake Whistleblower?,[],1195003306558607360,1195003306558607360,en,,,,,18285,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}",[]
1,Thu Nov 14 15:28:15 +0000 2019,34409,".@DanHenninger  WSJ: Nancy Pelosi had it right the first time when she did not want to go down the Impeachment path. Make it a voting issue. But no, the Left insisted on raising this to the gravity of a constitutional crisis &amp; Impeachment. The hearings suggested it’s not going...",[],1195000499080175623,1195000499080175623,en,,,,,9228,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}","[{'id': 1400294809, 'id_str': '1400294809', 'name': 'Daniel Henninger', 'screen_name': 'DanHenninger'}]"
2,Thu Nov 14 14:49:05 +0000 2019,33919,“That hearing was about a policy dispute.” Robert Ray. “Regular people watching this cannot conclude that the President of the United States can be impeached.” @Varneyco,[],1194990643338268672,1194990643338268672,en,,,,,8677,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}","[{'id': 281610530, 'id_str': '281610530', 'name': 'Varney & Co.', 'screen_name': 'Varneyco'}]"
3,Thu Nov 14 14:37:52 +0000 2019,34086,“Neither one of the Democrat star witnesses at the Impeachment hearings could point out an impeachable offense. That’s the result!” @Varneyco  @FoxBusiness,[],1194987817077805061,1194987817077805061,en,,,,,9213,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}","[{'id': 281610530, 'id_str': '281610530', 'name': 'Varney & Co.', 'screen_name': 'Varneyco'}, {'id': 56413858, 'id_str': '56413858', 'name': 'FOX Business', 'screen_name': 'FoxBusiness'}]"
4,Thu Nov 14 14:32:35 +0000 2019,55994,Walmart announces great numbers. No impact from Tariffs (which are contributing $Billions to our Treasury). Inflation low (do you hear that Powell?)!,[],1194986487588311040,1194986487588311040,en,,,,,13566,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}",[]
5,Thu Nov 14 13:44:07 +0000 2019,69515,"Hit New Stock Market record again yesterday, the 20th time this year, with GREAT potential for the future. USA is where the action is. Companies and jobs are coming back like never before!",[],1194974293911887873,1194974293911887873,en,,,,,16593,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}",[]
6,Thu Nov 14 11:54:17 +0000 2019,68923,".@RepRatcliffe asked the two “star” witnesses, “where is the impeachable event in that call?” Both stared straight ahead with a blank look on their face, remained silent, &amp; were unable to answer the question. That would be the end of a case run by normal people! - but not Shifty!",[],1194946652223746048,1194946652223746048,en,,,,,20101,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}","[{'id': 2847221717, 'id_str': '2847221717', 'name': 'John Ratcliffe', 'screen_name': 'RepRatcliffe'}]"
7,Thu Nov 14 03:47:12 +0000 2019,140921,"Wow! Was just told that my son’s book, “Triggered,” is Number One on The New York Times Bestseller List. Congratulations Don!",[],1194824072011698176,1194824072011698176,en,,,,,23402,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}",[]
8,Thu Nov 14 03:32:36 +0000 2019,47367,Thank you @FranklinGraham. It is a time of “shame” for our Country. The Democrats know what they are doing is wrong! https://t.co/O32ybh04vc,[],1194820401035124738,1194820401035124738,en,,"{'created_at': 'Wed Nov 13 19:19:16 +0000 2019', 'favorite_count': 11142, 'full_text': ""“Evangelist @FranklinGraham calls impeachment hearing 'a day of shame for America'” https://t.co/uOQATZEFb6"", 'hashtags': [], 'id': 1194696248223240193, 'id_str': '1194696248223240193', 'lang': 'en', 'retweet_count': 3699, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'urls': [{'expanded_url': 'https://www.washingtontimes.com/news/2019/nov/13/franklin-graham-calls-impeachment-hearing-a-day-of/', 'url': 'https://t.co/uOQATZEFb6'}], 'user': {'created_at': 'Mon Jan 23 03:09:28 +0000 2017', 'default_profile': True, 'description': 'Assistant to President @realDonaldTrump, Director of Social Media @WhiteHouse🇺🇸 Personal Twitter: @DanScavino', 'favourites_count': 1010, 'followers_count': 437977, 'friends_count': 902, 'geo_enabled': True, 'id': 823367015830323201, 'id_str': '823367015830323201', 'listed_count': 2408, 'location': '1600 Pennsylvania Avenue ', 'name': 'Dan Scavino Jr.🇺🇸', 'profile_background_color': 'F5F8FA', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/823367015830323201/1572328564', 'profile_image_url': 'http://pbs.twimg.com/profile_images/1180025841499148289/nXj4vRBe_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1180025841499148289/nXj4vRBe_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'Scavino45', 'statuses_count': 4556, 'url': 'https://t.co/wyOVgSLgBV', 'verified': True}, 'user_mentions': [{'id': 16570984, 'id_str': '16570984', 'name': 'franklingraham', 'screen_name': 'franklingraham'}]}",1.1946962482232402e+18,1194696248223240193,12387,realDonaldTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/scavino45/status/1194696248223240193', 'url': 'https://t.co/O32ybh04vc'}]","{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}","[{'id': 16570984, 'id_str': '16570984', 'name': 'franklingraham', 'screen_name': 'franklingraham'}]"
9,Wed Nov 13 16:50:37 +0000 2019,57457,https://t.co/FJ8gMdh5bX,[],1194658838315720705,1194658838315720705,und,"[{'display_url': 'pic.twitter.com/FJ8gMdh5bX', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/1194658838315720705/video/1', 'id': 1194656404478541829, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1194656404478541829/img/ERHA5sqV_5JBbGJG.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1194656404478541829/img/ERHA5sqV_5JBbGJG.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/FJ8gMdh5bX', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 82849, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1194656404478541829/pl/3og3xL5cJ2TOCRh8.m3u8?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1194656404478541829/vid/640x360/zg3Ma35manMUci5u.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1194656404478541829/vid/480x270/z19tKi8bJ5kJ0HDp.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1194656404478541829/vid/1280x720/uNc7AF6pzBUS8XV9.mp4?tag=13'}]}}]",,,,19555,realDonaldTrump,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'description': '45th President of the United States of America🇺🇸', 'favourites_count': 6, 'followers_count': 66783798, 'friends_count': 47, 'geo_enabled': True, 'id': 25073877, 'id_str': '25073877', 'listed_count': 110679, 'location': 'Washington, DC', 'name': 'Donald J. Trump', 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1560920145', 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'screen_name': 'realDonaldTrump', 'statuses_count': 46118, 'url': 'https://t.co/OMxB0x7xC5', 'verified': True}",[]
